in.state	region
ME	New England
NH	New England
VT	New England
MA	New England
RI	New England
CT	New England
NY	Middle Atlantic
PA	Middle Atlantic
NJ	Middle Atlantic
OH	East North Central
IN	East North Central
IL	East North Central
MI	East North Central
WI	East North Central
MN	West North Central
IA	West North Central
MO	West North Central
ND	West North Central
SD	West North Central
NE	West North Central
KS	West North Central
DE	South Atlantic
MD	South Atlantic
DC	South Atlantic
VA	South Atlantic
WV	South Atlantic
NC	South Atlantic
SC	South Atlantic
GA	South Atlantic
FL	South Atlantic
KY	East South Central
TN	East South Central
MS	East South Central
AL	East South Central
AR	West South Central
LA	West South Central
OK	West South Central
TX	West South Central
ID	Mountain
MT	Mountain
WY	Mountain
NV	Mountain
UT	Mountain
CO	Mountain
AZ	Mountain
NM	Mountain
AK	Pacific
WA	Pacific
OR	Pacific
CA	Pacific
HI	Pacific
